# Pixel Number	Wavelength (nm)
227	280
228	283
229	286
230	289
231	293
232	296
233	300
234	304
235	307
236	311
237	316
238	320
239	324
240	329
241	333
242	338
243	342
244	347
245	352
246	357
247	363
248	368
249	373
250	379
251	384
252	390
253	395
254	401
255	407
256	413
257	419
258	425
259	431
260	437
261	444
262	450
263	457
264	463
265	470
266	476
267	483
268	490
269	496
270	503
271	510
272	517
273	524
274	531
275	538
276	545
277	552
278	559
279	566
280	573
281	581
282	588
283	595
284	602
285	609
286	616
287	624
288	631
289	638
290	645
291	652
292	659
293	666
294	674
295	681
296	688
297	695
298	702
299	709
300	716
301	723
302	729
303	736
304	743
305	750
306	756
307	763
308	770
309	776
310	783
311	789
312	795
313	802
314	808
315	814
316	820
317	826
318	832
319	838
320	844
321	850
322	855
323	861
324	866
325	872
326	877
327	882
328	887
329	892
330	897
331	902
332	907
333	912
334	917
335	921
336	926
337	930
338	934
339	938
340	943
341	947
342	951
343	954
344	958
345	962
346	965
347	969
348	972
349	976
350	979
351	982
352	985
353	988
354	991
355	994
356	997
357	1000
358	1002
359	1005
360	1007
361	1010
362	1012
363	1015
364	1017
